frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol
"Apr 27, 2025 15:54:02.180513000 CDT","192.168.4.148","140.82.113.25","55269","443","TCP"
"Apr 27, 2025 15:54:02.181102000 CDT","192.168.4.148","140.82.113.25","55269","443","TLSv1.2"
"Apr 27, 2025 15:54:02.182039000 CDT","192.168.4.148","142.251.186.95",,,"UDP"
"Apr 27, 2025 15:54:02.191748000 CDT","142.251.186.95","192.168.4.148",,,"UDP"
"Apr 27, 2025 15:54:02.225238000 CDT","140.82.113.25","192.168.4.148","443","55269","TCP"
"Apr 27, 2025 15:54:02.323814000 CDT","192.168.4.148","192.168.4.1",,,"DNS"
"Apr 27, 2025 15:54:02.323850000 CDT","192.168.4.148","192.168.4.1",,,"DNS"
"Apr 27, 2025 15:54:02.334042000 CDT","192.168.4.1","192.168.4.148",,,"DNS"
"Apr 27, 2025 15:54:02.334043000 CDT","192.168.4.1","192.168.4.148",,,"DNS"
"Apr 27, 2025 15:54:02.335066000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.335103000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.336605000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.336752000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.336763000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.336771000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.336773000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.341997000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.351155000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.351557000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.351558000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.351559000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.351560000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.351560000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.351561000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.351561000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.352214000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.352258000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.352319000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.354950000 CDT","192.168.4.148","34.49.62.162",,,"QUIC"
"Apr 27, 2025 15:54:02.354985000 CDT","192.168.4.148","34.49.62.162",,,"QUIC"
"Apr 27, 2025 15:54:02.355903000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.359933000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.359934000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.360144000 CDT","192.168.4.148","142.251.186.147",,,"QUIC"
"Apr 27, 2025 15:54:02.362052000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.362053000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.367918000 CDT","142.251.186.147","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.367919000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.368699000 CDT","192.168.4.148","34.49.62.162",,,"QUIC"
"Apr 27, 2025 15:54:02.368795000 CDT","192.168.4.148","34.49.62.162",,,"QUIC"
"Apr 27, 2025 15:54:02.375612000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.375613000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.375803000 CDT","192.168.4.148","34.49.62.162",,,"QUIC"
"Apr 27, 2025 15:54:02.382604000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.382605000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.382605000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.382606000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.382611000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
"Apr 27, 2025 15:54:02.382612000 CDT","34.49.62.162","192.168.4.148",,,"QUIC"
